,idSeller,idSellerProduct,nameSeller,Unnamed: 0,idProduct
0,974,60468,Canon Powershot SX430IS črna barva,2595,8711521
1,1034,135887,NIKON COOLPIX A300 srebrn+SD16GB+torbica,2396,6940347
2,1335,484835,"Canon Ixus 190 fotoaparat Essential kit, črn",2618,8087157
3,41,48994,Digitalni fotoaparat Canon IXUS 105 IS moder,36,1262833
4,114,18348704,FOTOAPARAT POLAROID ONESTEP 2 ČRN,2889,9784695
5,98,sony-dsc-hx350b,SONY DSC-HX350B,2509,7866131
6,862,592368,COOLPIX W100 MODER NIKON,3095,7559378
7,1353,137464,Visoko zmogljiv digitalni fotoaparat SONY DSC-HX95B,3009,10620870
8,1335,455560,"Nikon Coolpix W100 fotoaparat, moder + nahrbtnik",3248,7542747
9,342,769973002,"Panasonic digitalni fotoaparat Lumix DMC-FT30, podvodni, moder",2698,4912406
10,152,176446,Panasonic Lumix DC-FT7 schwarz Digitalkamera,2888,9650246
11,318,139443,OLYMPUS TG-5 črne barve + podvodno ohišje PT-058 (V104190BE010),2774,9145062
12,152,160941,Panasonic DMC-TZ101 schwarz,3126,5648539
13,862,602957,INSTAX MINI 9 R FUJIFILM,2501,8535121
14,342,1219256001,"Panasonic digitalni fotoaparat Lumix TZ200, črn",2967,10044208
15,342,1187648001,"FujiFilm podvodni fotoaparat Finepix XP130, rumen",3416,9673762
16,862,601408,COOLPIX W300 RUMEN KIT NIKON,3399,8920943
17,342,910618001,"Nikon fotoaparat Coolpix A900 + SD 16GB + Manfrotto SCP-5BC, črn",2449,7458541
18,292,188717,Visoko zmogljiv digitalni fotoaparat SONY DSC-HX60B,894,4205065
19,41,48759,Digitalni fotoaparat Sony DSC-HX5V B,23,1222761
20,342,1367513002,"POLAROID Originals fotoaparat OneStep 2 - Summer Edition, moder",3436,13311709
21,138,DF547,DSC-RX100M5A digitalni fotoaparat,3259,10004611
22,438,1333204,AgfaPhoto Kamera za enkratno uporabo AgfaPhoto LeBox 400 Outdoor,1755,5000906
23,342,883905002,"Panasonic digitalni fotoaparat Lumix DMC-TZ100EP, srebrn",2180,6890372
24,342,876059001,"Nikon Nikon Coolpix A10 Kit, srebrn",2274,6032866
25,1176,5455,Sony RX100 Mark IV + torbica in mini stativ,2759,5156574
26,342,1317443,FujiFilm fujifilm-fotoaparat Instax 300 Wide - Odprta embalaža,3063,10973218
27,438,1399796,VTech Digitalna kamera VTech Kidizoom Duo roza,2096,5505927
28,1440,10028872,"DURAMAXX Grizzly 3.0, 8 mp, črna, snemanje/time lapse kamera za v naravi, sd, led bliskavica, tv izhod, hd video (CTV-Grizzly-3.0Black)",1937,5935629
29,342,1100742001,"Kodak digitalni fotoaparat MiniShot 2 Instant, črn",3447,12953542
30,1335,488206,"Fujifilm Instax Mini 70 analogen fotoaparat, črn",2257,6172380
31,342,1232168002,"Panasonic digitalni fotoaparat Lumix DC-FT7, moder",3059,10004867
32,1353,154430,NIKON COOLPIX W150 bel+SD16GB+torbica,3210,13357831
33,438,1079548,Fujifilm Trenutna kamera Fujifilm Instax Mini 90 Neo Classic Črna/srebrna,2880,9638452
34,138,DF546,DSC-RX100M6 digitalni fotoaparat,3404,9650250
35,1353,80500,NIKON dig. fotoaparat COOLPIX W100 bel,2877,9395626
36,1176,5245,Panasonic Lumix SZ10 + torbica in mini stativ,1882,4979760
37,483,1357,SONY DSC-T10 (DSC-T10B),1367,4823534
38,342,883905001,"Panasonic digitalni fotoaparat Lumix DMC-TZ100EP, črn",2337,6636284
39,342,1205984,"Nikon digitalni fotoaparat Coolpix W100, bel+ SD16GB + nahrbtnik",2780,9394568
40,342,1050398,Panasonic digitalni fotoaparat Lumix DMC-TZ90EP,2882,9634929
41,342,752749,"Nikon digitalni fotoaparat Coolpix P900, črn",1723,4797764
42,1335,506644,SJCAM monopod/selfie palica z adapterjem za SJCAM kamere,3420,10404823
43,342,1085486,Sony digitalni fotoaparat RX0,3221,8798840
44,438,1305385,Kamera za enkratno uporabo Topshot Flash 12 x,1754,5000532
45,342,1219256002,"Panasonic digitalni fotoaparat Lumix TZ200EP, siv",3418,10086769
46,342,1205979002,"Nikon fotoaparat Coolpix W300, črn + SD16GB + nahrbtnik",2874,9381059
47,1353,146465,NIKON dig. fotoaparat COOLPIX B600 črn+SD16GB+torbica,3381,11208895
48,438,1337083,"Panasonic Digitalni fotoaparat Panasonic DMC-TZ58EG-T 16 mio. pikslov optiÄŤni zoom: 20 x rjav Full HD Video, WiFi, vrtljiv nagibni zaslon",1917,5000951
